cycle,pc,target,jump_double_b_predictor,jump_streak,is_taken
129,2147483788,2147483792,0,-1,0
174,2147483848,2147483852,0,-2,0
182,2147483872,2147483876,0,-3,0
268,2147494836,2147494840,0,-4,0
269,2147494836,2147494840,0,-5,0
306,2147494552,2147494556,0,-6,0
341,2147494592,2147494596,0,-7,0
345,2147494588,2147494592,0,-8,0
346,2147494592,2147494588,1,0,1
414,2147494860,2147494864,0,-1,0
455,2147494656,2147494660,0,-2,0
456,2147494660,2147494664,0,-3,0
458,2147494668,2147494672,0,-4,0
459,2147494668,2147494672,0,-5,0
469,2147494656,2147494660,0,-6,0
470,2147494660,2147494664,0,-7,0
472,2147494668,2147494628,1,0,1
473,2147494668,2147494628,2,1,1
483,2147494656,2147494660,1,0,0
484,2147494660,2147494664,0,-1,0
486,2147494668,2147494628,1,0,1
487,2147494668,2147494628,2,1,1
497,2147494656,2147494660,1,0,0
498,2147494660,2147494664,0,-1,0
500,2147494668,2147494628,1,0,1
501,2147494668,2147494628,2,1,1
511,2147494656,2147494660,1,0,0
512,2147494660,2147494664,0,-1,0
514,2147494668,2147494628,1,0,1
515,2147494668,2147494628,2,1,1
525,2147494656,2147494660,1,0,0
526,2147494660,2147494664,0,-1,0
528,2147494668,2147494628,1,0,1
529,2147494668,2147494628,2,1,1
539,2147494656,2147494660,1,0,0
540,2147494660,2147494664,0,-1,0
542,2147494668,2147494628,1,0,1
543,2147494668,2147494628,2,1,1
553,2147494656,2147494660,1,0,0
554,2147494660,2147494664,0,-1,0
556,2147494668,2147494628,1,0,1
557,2147494668,2147494628,2,1,1
567,2147494656,2147494660,1,0,0
568,2147494660,2147494664,0,-1,0
570,2147494668,2147494628,1,0,1
571,2147494668,2147494628,2,1,1
581,2147494656,2147494660,1,0,0
582,2147494660,2147494664,0,-1,0
584,2147494668,2147494628,1,0,1
585,2147494668,2147494628,2,1,1
595,2147494656,2147494660,1,0,0
596,2147494660,2147494664,0,-1,0
598,2147494668,2147494628,1,0,1
599,2147494668,2147494628,2,1,1
609,2147494656,2147494660,1,0,0
610,2147494660,2147494664,0,-1,0
612,2147494668,2147494628,1,0,1
613,2147494668,2147494628,2,1,1
623,2147494656,2147494660,1,0,0
624,2147494660,2147494664,0,-1,0
626,2147494668,2147494628,1,0,1
627,2147494668,2147494628,2,1,1
637,2147494656,2147494660,1,0,0
638,2147494660,2147494664,0,-1,0
640,2147494668,2147494628,1,0,1
641,2147494668,2147494628,2,1,1
651,2147494656,2147494660,1,0,0
652,2147494660,2147494664,0,-1,0
654,2147494668,2147494628,1,0,1
655,2147494668,2147494628,2,1,1
665,2147494656,2147494660,1,0,0
666,2147494660,2147494664,0,-1,0
668,2147494668,2147494628,1,0,1
669,2147494668,2147494628,2,1,1
679,2147494656,2147494660,1,0,0
680,2147494660,2147494664,0,-1,0
682,2147494668,2147494628,1,0,1
683,2147494668,2147494628,2,1,1
693,2147494656,2147494660,1,0,0
694,2147494660,2147494664,0,-1,0
696,2147494668,2147494628,1,0,1
697,2147494668,2147494628,2,1,1
707,2147494656,2147494660,1,0,0
708,2147494660,2147494664,0,-1,0
710,2147494668,2147494628,1,0,1
711,2147494668,2147494628,2,1,1
721,2147494656,2147494660,1,0,0
722,2147494660,2147494664,0,-1,0
724,2147494668,2147494628,1,0,1
725,2147494668,2147494628,2,1,1
735,2147494656,2147494660,1,0,0
736,2147494660,2147494664,0,-1,0
738,2147494668,2147494628,1,0,1
739,2147494668,2147494628,2,1,1
749,2147494656,2147494660,1,0,0
750,2147494660,2147494664,0,-1,0
752,2147494668,2147494628,1,0,1
753,2147494668,2147494628,2,1,1
763,2147494656,2147494660,1,0,0
764,2147494660,2147494664,0,-1,0
766,2147494668,2147494628,1,0,1
767,2147494668,2147494628,2,1,1
777,2147494656,2147494660,1,0,0
778,2147494660,2147494664,0,-1,0
780,2147494668,2147494628,1,0,1
781,2147494668,2147494628,2,1,1
791,2147494656,2147494660,1,0,0
792,2147494660,2147494664,0,-1,0
794,2147494668,2147494628,1,0,1
795,2147494668,2147494628,2,1,1
805,2147494656,2147494660,1,0,0
806,2147494660,2147494664,0,-1,0
808,2147494668,2147494628,1,0,1
809,2147494668,2147494628,2,1,1
819,2147494656,2147494660,1,0,0
820,2147494660,2147494664,0,-1,0
822,2147494668,2147494628,1,0,1
823,2147494668,2147494628,2,1,1
833,2147494656,2147494660,1,0,0
834,2147494660,2147494664,0,-1,0
836,2147494668,2147494628,1,0,1
837,2147494668,2147494628,2,1,1
847,2147494656,2147494660,1,0,0
848,2147494660,2147494664,0,-1,0
850,2147494668,2147494628,1,0,1
851,2147494668,2147494628,2,1,1
861,2147494656,2147494660,1,0,0
862,2147494660,2147494664,0,-1,0
864,2147494668,2147494628,1,0,1
865,2147494668,2147494628,2,1,1
875,2147494656,2147494660,1,0,0
876,2147494660,2147494664,0,-1,0
878,2147494668,2147494628,1,0,1
879,2147494668,2147494628,2,1,1
889,2147494656,2147494660,1,0,0
890,2147494660,2147494664,0,-1,0
892,2147494668,2147494628,1,0,1
893,2147494668,2147494628,2,1,1
903,2147494656,2147494660,1,0,0
904,2147494660,2147494664,0,-1,0
906,2147494668,2147494628,1,0,1
907,2147494668,2147494628,2,1,1
917,2147494656,2147494660,1,0,0
918,2147494660,2147494664,0,-1,0
920,2147494668,2147494628,1,0,1
921,2147494668,2147494628,2,1,1
931,2147494656,2147494660,1,0,0
932,2147494660,2147494664,0,-1,0
934,2147494668,2147494628,1,0,1
935,2147494668,2147494628,2,1,1
945,2147494656,2147494660,1,0,0
946,2147494660,2147494664,0,-1,0
948,2147494668,2147494628,1,0,1
949,2147494668,2147494628,2,1,1
959,2147494656,2147494660,1,0,0
960,2147494660,2147494664,0,-1,0
962,2147494668,2147494628,1,0,1
963,2147494668,2147494628,2,1,1
973,2147494656,2147494660,1,0,0
974,2147494660,2147494664,0,-1,0
976,2147494668,2147494628,1,0,1
977,2147494668,2147494628,2,1,1
987,2147494656,2147494660,1,0,0
988,2147494660,2147494664,0,-1,0
990,2147494668,2147494628,1,0,1
991,2147494668,2147494628,2,1,1
1001,2147494656,2147494660,1,0,0
1002,2147494660,2147494664,0,-1,0
1004,2147494668,2147494628,1,0,1
1005,2147494668,2147494628,2,1,1
1015,2147494656,2147494660,1,0,0
1016,2147494660,2147494664,0,-1,0
1018,2147494668,2147494628,1,0,1
1019,2147494668,2147494628,2,1,1
1029,2147494656,2147494660,1,0,0
1030,2147494660,2147494664,0,-1,0
1032,2147494668,2147494628,1,0,1
1033,2147494668,2147494628,2,1,1
1043,2147494656,2147494660,1,0,0
1044,2147494660,2147494664,0,-1,0
1046,2147494668,2147494628,1,0,1
1047,2147494668,2147494628,2,1,1
1057,2147494656,2147494660,1,0,0
1058,2147494660,2147494664,0,-1,0
1060,2147494668,2147494628,1,0,1
1061,2147494668,2147494628,2,1,1
1071,2147494656,2147494660,1,0,0
1072,2147494660,2147494664,0,-1,0
1074,2147494668,2147494628,1,0,1
1075,2147494668,2147494628,2,1,1
1085,2147494656,2147494660,1,0,0
1086,2147494660,2147494664,0,-1,0
1088,2147494668,2147494628,1,0,1
